,A,B,C,D,E,F,G,H
4.0,0.008735125607613428,0.07175758005982713,0.01265739440953112,0.18897320478488092,0.0065971183769013494,0.2402493225232709,0.5304698579503213,0.25461923126307057
4.06202,0.02504130160485485,0.08226671846667381,0.0,0.15685580211170835,0.011774863208056877,0.23998611130187236,0.5560572235863944,0.26583489148422196
4.25798,0.00010163218489745579,0.09331863712794973,0.008813009177526969,0.16916323830140126,0.002345349702999499,0.2287482358006267,0.4992032188374449,0.2836470588027156
4.4,0.0,0.06709412670405979,0.0020706061384497074,0.2235284107791184,0.0,0.2313889471139634,0.5059300874490223,0.26198983856257013
4.46202,0.024351448413436498,0.0698842141590874,0.020725506040057823,0.16299038308661098,0.03659664185537983,0.2218266059455046,0.5147055733394343,0.2788573751497694
4.65798,0.0,0.09253972578673078,0.022094164062975232,0.15700512775293957,0.021396060821050382,0.2131678942261876,0.524433849150814,0.3026632804513802
4.8,0.0,0.042883799867611594,0.03829009915920038,0.21717899130274892,0.0,0.18573720213338166,0.5268840471148595,0.31134333020144433
4.86202,0.0117691200926293,0.0538951655701437,0.0018905808519533805,0.16153000674506532,0.05087866733989298,0.19435555364203905,0.5041343475208854,0.29968590157884417
5.05798,0.01874785046347352,0.08958736492328975,0.018525415689703183,0.1843756769473705,0.025232418561206595,0.2108695507935566,0.5402172071094318,0.3061288585092391
5.2,0.0032819745075572766,0.059214297940350887,0.0,0.17063883572890678,0.0,0.21199309682319328,0.519137228282682,0.31212730543033473
5.26202,0.0,0.05516301074983245,0.0,0.14784197020699244,0.02370150260836808,0.21844141188885097,0.5128083438761684,0.3274229919895375
5.45798,0.0,0.09077930171736903,0.036707237574949425,0.15245054861123006,0.030423997360274267,0.17222373110972558,0.49784570254635624,0.31803795186411304
5.6,0.0,0.09518424136693801,0.026760381341515496,0.14798013811228516,0.04968510816165698,0.15113494228622545,0.4534625087981761,0.3216975576995465
5.66202,0.02135446575759511,0.07000855975748763,0.014156241494806723,0.13680607357369018,0.047689251964089185,0.207812459691821,0.5027921514577909,0.29834190887760326
5.85798,0.0011625526660938037,0.04864731696579186,0.02434677203709202,0.14644103941710693,0.014386314931246848,0.1982281186367156,0.4851110843628404,0.358431904439522
6.0,0.0,0.07028333227927303,0.05284982773701996,0.15486977208712507,0.0,0.16114037737778342,0.4791061441927901,0.326715647476738
6.06202,0.0,0.05105985487257245,0.0,0.14024681062095046,0.003966131957742397,0.17592621382567822,0.4848863620324459,0.35223595302432814
6.25798,0.0,0.07957482182317084,0.005105405195851577,0.1666011563861147,0.06216916073473718,0.1686406091271472,0.5017511757919019,0.3273372129545366
6.4,0.03341300789141762,0.06295707419635166,0.024596289385611335,0.17640315693532455,0.0532040349245054,0.18462651932624166,0.4735852609576524,0.31393683299357783
6.46202,0.0,0.07313483337693495,0.01697382976128337,0.13285606497215283,0.046535409336855384,0.14968476225047533,0.4517558959677124,0.3253608873122289
6.65798,0.0,0.05340935403792638,0.0,0.14652424062229674,0.056081915288155426,0.15943589880106593,0.4816755794715539,0.32993779238076393
6.8,0.0,0.07562731286225136,0.007959527682135953,0.13970753863837496,0.03594379081889574,0.15994775803126476,0.447843418216131,0.37608777868382526
6.86202,0.0,0.05096645699238954,0.01467770663076694,0.10643685942862322,0.04805848200806334,0.15843238550542854,0.47461203686547515,0.340110585034272
7.05798,0.0,0.04371657662693519,0.05182023604596961,0.15602767505577117,0.058006143267446485,0.12527802308246555,0.43995454114098675,0.3176882663886933
7.2,0.020367478340888846,0.06119226247813234,0.02870463047094942,0.1536452560290846,0.03340627957669438,0.17199347245585564,0.45787562925366104,0.33438607066317205
7.26202,0.03707007115390747,0.028852908404532814,0.0,0.1349231125695527,0.07829506219477021,0.13730295975842657,0.4759460950343928,0.3404452159420125
7.45798,0.0,0.05354069429037811,0.045264361359507205,0.14399100395910933,0.05801187305328326,0.17071755315118042,0.49805187135690404,0.37313336007128434
7.6,0.010202095117121852,0.056889214142358875,0.0,0.15166413473435458,0.027083375574324307,0.17575767346128823,0.42180434672032185,0.3170963405640752
7.66202,0.008258285090749612,0.02673911567178877,0.00023508439067769678,0.1132889984638798,0.010103276761244964,0.14047379170426655,0.4726772293648318,0.34540047031976867
7.85798,0.017826571151913273,0.03116823461743522,0.0,0.13929638666589564,0.03533943473109693,0.10005584819258262,0.4323082353364877,0.3849828716570823
8.0,0.0,0.02696307716181549,0.02410053802880156,0.14047629406845316,0.02000527758092706,0.13777433992730034,0.44903916743211625,0.3873731548674399
8.06202,0.0,0.027024749393606544,0.002149349320646884,0.16151601790500641,0.003366304170431711,0.12080216852352582,0.47362603549826326,0.36281406237082664
8.25798,0.0,0.057949466898042104,0.021035002198992746,0.09444898393652165,0.03145486425382514,0.13091632698296596,0.4298429230486676,0.3859151523757754
8.4,0.0,0.008008378547846334,0.013509943353279315,0.1423890810347457,0.0211475820739814,0.17480759147024494,0.4268007347238978,0.3492948431486796
8.46202,0.0,0.04732213468332083,0.03924702098214597,0.16054174901156312,0.012505599978464295,0.142615627678347,0.4358491381113922,0.3884717707565548
8.65798,0.0,0.032335655352205145,0.01595960400881486,0.17117374766991542,0.06813277109398187,0.14227191953423507,0.4198546206217088,0.36044403190164326
8.8,0.0,0.034431328077460355,0.056294575686304985,0.16325797590466024,0.05716000307921922,0.10846325819692249,0.4299552904514553,0.3872196358497558
8.86202,0.0,0.03229317762299292,0.018807853128436552,0.14972917371613453,0.02645132585396622,0.13308998046420475,0.4224928224405365,0.3466674139481976
9.05798,0.006327506259708169,0.017804449823487313,0.0383961691350615,0.0852007102692439,0.05692387487111472,0.17111506112883942,0.41516232220867266,0.37772461181196265
9.2,0.00253340321961795,0.0,0.010324046904006718,0.1175652659494617,0.08078067598805883,0.10598540755936645,0.4588195759465992,0.3877996487050307
9.26202,0.0,0.03027374476693508,0.0,0.16529408473045595,0.081202066139628,0.11984271169747966,0.41869872533319874,0.3989841139321987
9.45798,0.0,0.0365840747321469,0.0,0.12178587041850678,0.05940162554956752,0.11367347664751551,0.36863526412061187,0.3898477832335216
9.6,0.0,0.01828955977972592,0.025374804798171342,0.12306201403316613,0.05495557742696154,0.0970571100993543,0.4216426500815093,0.37365851551069745
9.66202,0.012376980899321325,0.01230842218783244,0.0,0.12220723947353795,0.03744307887584751,0.1259339460830155,0.4240483011489446,0.3826001376264457
